datetime,depth,temp
2012-08-06 12:00:00,13,16.4
2012-08-06 12:00:00,13.5,15.6
2012-08-06 12:00:00,14,14.9
2012-08-06 12:00:00,14.5,14.1
2012-08-06 12:00:00,15,13.6
2012-08-06 12:00:00,16,13.2
2012-08-06 12:00:00,17,12.7
2012-08-06 12:00:00,18,12.5
2012-08-06 12:00:00,19,12.3
2012-08-06 12:00:00,20,12.2
2012-08-06 12:00:00,21,11.8
2012-08-06 12:00:00,22,11.7
2012-08-06 12:00:00,23,11.7
2012-08-06 12:00:00,24,11.6
2012-08-06 12:00:00,24.1,11.7
2012-08-20 12:00:00,0,23.6
2012-08-20 12:00:00,1,23.2
2012-08-20 12:00:00,2,23.1
2012-08-20 12:00:00,3,23.1
2012-08-20 12:00:00,4,23
2012-08-20 12:00:00,5,23
